panel_id,utility_id_eia,display_name,state,year,ownership,reporting_standard,reliability_customers,routine_saidi_minutes,included_primary_model,reliability_row_status,analysis_excluded_fields,eia_source_file_url
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2014,DOM,ieee_standard,1248364.0,93.67,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612014.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2015,DOM,ieee_standard,1254049.0,78.6,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612015.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2016,DOM,ieee_standard,1260086.0,103.8,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612016.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2017,DOM,ieee_standard,1265772.0,78.2,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612017.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2018,DOM,ieee_standard,1271056.0,81.0,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612018.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2019,DOM,ieee_standard,1275462.0,66.8,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612019.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2020,DOM,ieee_standard,1281157.0,69.68,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612020.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2021,DOM,ieee_standard,1286768.0,75.996,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612021.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2022,DOM,ieee_standard,1293731.0,73.4,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612022.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2023,DOM,ieee_standard,1307124.0,75.6,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612023.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2024,DOM,ieee_standard,1326461.0,76.9,True,reported,,https://www.eia.gov/electricity/data/eia861/zip/f8612024.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2013,COOP,other_standard,16776.0,21.76,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612013.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2014,COOP,other_standard,16802.0,79.0,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612014.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2015,COOP,other_standard,16719.0,37.16,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612015.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2016,COOP,other_standard,17152.0,22.292,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612016.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2017,COOP,ieee_standard,17152.0,29.68,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612017.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2018,COOP,ieee_standard,17578.0,21.474,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612018.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2019,COOP,ieee_standard,17623.0,21.703,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612019.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2020,COOP,ieee_standard,17666.0,17.69,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612020.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2021,COOP,ieee_standard,17658.0,17.986,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612021.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2022,COOP,ieee_standard,17666.0,17.69,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612022.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2023,COOP,ieee_standard,17895.0,14.799,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612023.zip
COOP_NY_FAIRPORT,5930,Fairport Municipal Commission,NY,2024,COOP,ieee_standard,17955.0,20.211,True,reported,,https://www.eia.gov/electricity/data/eia861/zip/f8612024.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2013,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612013.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2014,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612014.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2015,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612015.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2016,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612016.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2017,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612017.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2018,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612018.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2019,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612019.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2020,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612020.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2021,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612021.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2022,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612022.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2023,DOM,,,,False,not_reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612023.zip
DOM_NY_FIRSTENERGY,66101,FirstEnergy Pennsylvania Electric,NY,2024,DOM,ieee_standard,2076402.0,220.51,True,reported,,https://www.eia.gov/electricity/data/eia861/zip/f8612024.zip
